country_group,grid_count,sdg_index_2010_mean,sdg_index_2024_mean,change_rate_2010_2024_mean,change_rate_2010_2024_median,high_level_share_pct,relative_improvement_share_pct,D1_score_2010_mean,D1_score_2024_mean,D1_score_change_2010_2024_mean,D2_score_2010_mean,D2_score_2024_mean,D2_score_change_2010_2024_mean,D3_score_2010_mean,D3_score_2024_mean,D3_score_change_2010_2024_mean,D4_score_2010_mean,D4_score_2024_mean,D4_score_change_2010_2024_mean,top_dimension_2024,weak_dimension_2024
Russia,17741,0.3964088336898862,0.39825441965740205,0.6075872303938064,1.0317711257915272,24.3165548728933,19.593033087199142,0.007109807433843271,0.03259719159973994,0.025487384165896673,0.6862153818075674,0.6862153818075674,0.0,0.34687988489525073,0.33860636003487804,-0.008273524860372694,0.5794458606371591,0.599254197560122,0.01980833692296291,D2,D1
China,12411,0.4503453671753798,0.46289158766013727,2.948319963654753,2.73747288826975,25.968898557731045,32.74514543550077,0.19756999892298396,0.23547144307957665,0.03790144415659269,0.8675326357216825,0.8675326357216825,0.0,0.2510793956327904,0.27581446506658913,0.024735069433798718,0.6738826391297611,0.7089977265240722,0.03511508739431113,D2,D1
Unmatched,8,0.47575446804821436,0.47252417964047133,-0.6560487051304087,-0.643852811209839,37.5,0.0,0.514376286176978,0.5488577507417416,0.03448146456476364,0.7954837987986765,0.7954837987986765,0.0,0.10131568489338466,0.1267682445734322,0.025452559680047532,0.8869141621306325,0.8078155186978664,-0.07909864343276607,D4,D3
