variable,moran_i,expected_i,z_sim,p_sim,permutations,n
sdg_index_2010,0.8959634586605065,-3.3157598063596274e-05,304.10539903460045,0.001,999,30160
sdg_index_2015,0.9012604109936049,-3.3157598063596274e-05,312.8926209664946,0.001,999,30160
sdg_index_2020,0.9124553624349584,-3.3157598063596274e-05,318.22700803138076,0.001,999,30160
sdg_index_2024,0.9178937925595738,-3.3157598063596274e-05,321.1416336870507,0.001,999,30160
change_rate_2010_2024,0.5236688078000739,-3.3157598063596274e-05,177.70541226903427,0.001,999,30160
