hotspot_type,count,percentage
中等水平_中等变化,7153,23.71684350132626
中等水平_相对下降,3556,11.790450928381963
中等水平_相对改善,4371,14.492705570291777
低水平_中等变化,3325,11.024535809018568
低水平_相对下降,3115,10.328249336870027
低水平_相对改善,1100,3.647214854111406
高水平_中等变化,4602,15.258620689655173
高水平_相对下降,869,2.8812997347480107
高水平_相对改善,2069,6.860079575596817
